Item_ID,Display_Name,Tier,Enchant,Category
T4_2H_TOOL_TRACKING,Adept's Tracking Toolkit,4,0,Two-Hand Weapon
T5_2H_TOOL_TRACKING,Expert's Tracking Toolkit,5,0,Two-Hand Weapon
T6_2H_TOOL_TRACKING,Master's Tracking Toolkit,6,0,Two-Hand Weapon
T7_2H_TOOL_TRACKING,Grandmaster's Tracking Toolkit,7,0,Two-Hand Weapon
T8_2H_TOOL_TRACKING,Elder's Tracking Toolkit,8,0,Two-Hand Weapon
T4_OFF_SHIELD,Adept's Shield,4,0,Off-Hand
T4_OFF_SHIELD@1,Adept's Shield,4,1,Off-Hand
T4_OFF_SHIELD@2,Adept's Shield,4,2,Off-Hand
T4_OFF_SHIELD@3,Adept's Shield,4,3,Off-Hand
T4_OFF_SHIELD@4,Adept's Shield,4,4,Off-Hand
T5_OFF_SHIELD,Expert's Shield,5,0,Off-Hand
T5_OFF_SHIELD@1,Expert's Shield,5,1,Off-Hand
T5_OFF_SHIELD@2,Expert's Shield,5,2,Off-Hand
T5_OFF_SHIELD@3,Expert's Shield,5,3,Off-Hand
T5_OFF_SHIELD@4,Expert's Shield,5,4,Off-Hand
T6_OFF_SHIELD,Master's Shield,6,0,Off-Hand
T6_OFF_SHIELD@1,Master's Shield,6,1,Off-Hand
T6_OFF_SHIELD@2,Master's Shield,6,2,Off-Hand
T6_OFF_SHIELD@3,Master's Shield,6,3,Off-Hand
T6_OFF_SHIELD@4,Master's Shield,6,4,Off-Hand
T7_OFF_SHIELD,Grandmaster's Shield,7,0,Off-Hand
T7_OFF_SHIELD@1,Grandmaster's Shield,7,1,Off-Hand
T7_OFF_SHIELD@2,Grandmaster's Shield,7,2,Off-Hand
T7_OFF_SHIELD@3,Grandmaster's Shield,7,3,Off-Hand
T7_OFF_SHIELD@4,Grandmaster's Shield,7,4,Off-Hand
T8_OFF_SHIELD,Elder's Shield,8,0,Off-Hand
T8_OFF_SHIELD@1,Elder's Shield,8,1,Off-Hand
T8_OFF_SHIELD@2,Elder's Shield,8,2,Off-Hand
T8_OFF_SHIELD@3,Elder's Shield,8,3,Off-Hand
T8_OFF_SHIELD@4,Elder's Shield,8,4,Off-Hand
T4_OFF_TOWERSHIELD_UNDEAD,Adept's Sarcophagus,4,0,Off-Hand
T4_OFF_TOWERSHIELD_UNDEAD@1,Adept's Sarcophagus,4,1,Off-Hand
T4_OFF_TOWERSHIELD_UNDEAD@2,Adept's Sarcophagus,4,2,Off-Hand
T4_OFF_TOWERSHIELD_UNDEAD@3,Adept's Sarcophagus,4,3,Off-Hand
T4_OFF_TOWERSHIELD_UNDEAD@4,Adept's Sarcophagus,4,4,Off-Hand
T5_OFF_TOWERSHIELD_UNDEAD,Expert's Sarcophagus,5,0,Off-Hand
T5_OFF_TOWERSHIELD_UNDEAD@1,Expert's Sarcophagus,5,1,Off-Hand
T5_OFF_TOWERSHIELD_UNDEAD@2,Expert's Sarcophagus,5,2,Off-Hand
T5_OFF_TOWERSHIELD_UNDEAD@3,Expert's Sarcophagus,5,3,Off-Hand
