Item_ID,Material_1,Mat1_Qty,Material_2,Mat2_Qty,Material_3,Mat3_Qty,Material_4,Mat4_Qty,Crafting_Fee,Focus_Cost
T4_2H_TOOL_TRACKING,T4_PLANKS,2,T4_LEATHER,6,,0,,0,100,429
T5_2H_TOOL_TRACKING,T5_PLANKS,2,T5_LEATHER,6,,0,,0,200,750
T6_2H_TOOL_TRACKING,T6_PLANKS,2,T6_LEATHER,6,,0,,0,400,1313
T7_2H_TOOL_TRACKING,T7_PLANKS,2,T7_LEATHER,6,,0,,0,800,2298
T8_2H_TOOL_TRACKING,T8_PLANKS,2,T8_LEATHER,6,,0,,0,1600,4021
T4_OFF_SHIELD,T4_PLANKS,4,T4_METALBAR,4,,0,,0,100,429
T5_OFF_SHIELD,T5_PLANKS,4,T5_METALBAR,4,,0,,0,200,750
T6_OFF_SHIELD,T6_PLANKS,4,T6_METALBAR,4,,0,,0,400,1313
T7_OFF_SHIELD,T7_PLANKS,4,T7_METALBAR,4,,0,,0,800,2298
T8_OFF_SHIELD,T8_PLANKS,4,T8_METALBAR,4,,0,,0,1600,4021
T4_OFF_TOWERSHIELD_UNDEAD,T4_PLANKS,4,T4_METALBAR,4,T4_ARTEFACT_TOKEN_FAVOR_1,1,,0,100,429
T5_OFF_TOWERSHIELD_UNDEAD,T5_PLANKS,4,T5_METALBAR,4,T5_ARTEFACT_TOKEN_FAVOR_1,1,,0,200,750
T6_OFF_TOWERSHIELD_UNDEAD,T6_PLANKS,4,T6_METALBAR,4,T6_ARTEFACT_TOKEN_FAVOR_1,1,,0,400,1313
T7_OFF_TOWERSHIELD_UNDEAD,T7_PLANKS,4,T7_METALBAR,4,T7_ARTEFACT_TOKEN_FAVOR_1,1,,0,800,2298
T8_OFF_TOWERSHIELD_UNDEAD,T8_PLANKS,4,T8_METALBAR,4,T8_ARTEFACT_TOKEN_FAVOR_1,1,,0,1600,4021
T4_OFF_SHIELD_HELL,T4_PLANKS,4,T4_METALBAR,4,T4_ARTEFACT_TOKEN_FAVOR_2,1,,0,100,429
T5_OFF_SHIELD_HELL,T5_PLANKS,4,T5_METALBAR,4,T5_ARTEFACT_TOKEN_FAVOR_2,1,,0,200,750
T6_OFF_SHIELD_HELL,T6_PLANKS,4,T6_METALBAR,4,T6_ARTEFACT_TOKEN_FAVOR_2,1,,0,400,1313
T7_OFF_SHIELD_HELL,T7_PLANKS,4,T7_METALBAR,4,T7_ARTEFACT_TOKEN_FAVOR_2,1,,0,800,2298
T8_OFF_SHIELD_HELL,T8_PLANKS,4,T8_METALBAR,4,T8_ARTEFACT_TOKEN_FAVOR_2,1,,0,1600,4021
T4_OFF_SPIKEDSHIELD_MORGANA,T4_PLANKS,4,T4_METALBAR,4,T4_ARTEFACT_TOKEN_FAVOR_3,1,,0,100,429
T5_OFF_SPIKEDSHIELD_MORGANA,T5_PLANKS,4,T5_METALBAR,4,T5_ARTEFACT_TOKEN_FAVOR_3,1,,0,200,750
T6_OFF_SPIKEDSHIELD_MORGANA,T6_PLANKS,4,T6_METALBAR,4,T6_ARTEFACT_TOKEN_FAVOR_3,1,,0,400,1313
T7_OFF_SPIKEDSHIELD_MORGANA,T7_PLANKS,4,T7_METALBAR,4,T7_ARTEFACT_TOKEN_FAVOR_3,1,,0,800,2298
T8_OFF_SPIKEDSHIELD_MORGANA,T8_PLANKS,4,T8_METALBAR,4,T8_ARTEFACT_TOKEN_FAVOR_3,1,,0,1600,4021
T4_OFF_SHIELD_AVALON,T4_PLANKS,4,T4_METALBAR,4,T4_ARTEFACT_TOKEN_FAVOR_4,1,,0,100,429
